﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA ENERGY,ARRIVAL,Port,ASHBURTON,2019-08-08 09:05:00,-,,YUNG AN,10d 9h 21m,3285,DAMPIER ANCH,1d 53m,286,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-08-07 03:02:00,-,,TIANJIN,10d 1h 3m,2450,TIANJIN,10d 1h 3m,2450,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-08-06 00:47:00,-,,YUNG AN,8d 1h 3m,2996,YUNG AN,8d 1h 3m,2996,In Ballast,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2019-08-03 08:55:00,-,,KISARAZU,10d 8h 40m,3935,KISARAZU,10d 8h 40m,3935,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-08-01 00:58:00,-,,CAOFEIDIAN,3d 20h 49m,1431,CAOFEIDIAN,3d 20h 49m,1431,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-07-30 00:04:00,-,,XIUYU,14h 33m,187,XIUYU,14h 33m,187,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,XIUYU,2019-07-28 06:17:00,-,,BARROW ISLAND,9d 3h 52m,3363,BARROW ISLAND,9d 3h 52m,3363,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,YUNG AN,2019-07-27 23:49:00,-,,DAMPIER,8d 19h 13m,3411,DAMPIER,8d 19h 13m,3411,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2019-07-27 09:12:00,-,,TIESHAN,12d 3h 42m,3183,TIESHAN,12d 3h 42m,3183,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,CAOFEIDIAN,2019-07-26 23:51:00,-,,ASHBURTON,9d 11h 45m,4224,ASHBURTON,9d 11h 45m,4224,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,TIANJIN,2019-07-26 01:44:00,-,,BARROW ISLAND,9d 13h 49m,4115,BARROW ISLAND,9d 13h 49m,4115,Laden,Not in Transit,Chevron Shipping
